date,description,type,from,to,nonce,amount,currency,comment,tx_hash
2021-07-01T12:05:54Z,,,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,728,0,ETH,Pay bug bounty,0x00550ef2c47e58dd1d768944e89c6f61c978cf7607275ae0beec6e1cd5db3fc5
2021-07-01T12:05:54Z,,,0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,ychad.eth,,7.907496,USDC,,0x00550ef2c47e58dd1d768944e89c6f61c978cf7607275ae0beec6e1cd5db3fc5
2021-07-01T12:05:54Z,,,0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,ychad.eth,,191867.335208,yvUSDC,,0x00550ef2c47e58dd1d768944e89c6f61c978cf7607275ae0beec6e1cd5db3fc5
2021-07-01T12:05:54Z,,,ychad.eth,0x0000000000000000000000000000000000000000,,191867.335208,yvUSDC,,0x00550ef2c47e58dd1d768944e89c6f61c978cf7607275ae0beec6e1cd5db3fc5
2021-07-01T12:05:54Z,,,0x5f18C75AbDAe578b483E5F43f12a39cF75b973a9,ychad.eth,,203759.599377,USDC,,0x00550ef2c47e58dd1d768944e89c6f61c978cf7607275ae0beec6e1cd5db3fc5
2021-07-01T12:05:54Z,,,ychad.eth,0x90829A30Ae07d7461a9D6b84636258973dc90468,,200000,USDC,,0x00550ef2c47e58dd1d768944e89c6f61c978cf7607275ae0beec6e1cd5db3fc5
2021-07-01T17:38:27Z,,,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,729,0,ETH,Migrate vault,0x1865c1dcb14d86d68cc783c439bc871c522f7d6567008228c565d83dc879056e
2021-07-01T21:45:04Z,,,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,730,0,ETH,Migrate strategy,0xd969300773ff84d13677266eb9c520aaf6447318bea325d6665692d99058eb2b
2021-07-01T21:45:04Z,,,0x74b3E5408B1c29E571BbFCd94B09D516A4d81f36,0x0000000000000000000000000000000000000000,,47384.965556923400000000,yvCurve-sAave,,0xd969300773ff84d13677266eb9c520aaf6447318bea325d6665692d99058eb2b
2021-07-01T21:45:04Z,,,0xb4D1Be44BfF40ad6e506edf43156577a3f8672eC,0x74b3E5408B1c29E571BbFCd94B09D516A4d81f36,,48379.367778020100000000,saCRV,,0xd969300773ff84d13677266eb9c520aaf6447318bea325d6665692d99058eb2b
2021-07-01T21:45:04Z,,,0x74b3E5408B1c29E571BbFCd94B09D516A4d81f36,0x0000000000000000000000000000000000000000,,48379.367778020100000000,saCRV,,0xd969300773ff84d13677266eb9c520aaf6447318bea325d6665692d99058eb2b
2021-07-01T21:45:04Z,,,0x0000000000000000000000000000000000000000,0x464C71f6c2F760DdA6093dCB91C24c39e5d6e18c,,6.417473718412580000,aSUSD,,0xd969300773ff84d13677266eb9c520aaf6447318bea325d6665692d99058eb2b
2021-07-01T21:45:04Z,,,0x6C5024Cd4F8A59110119C56f8933403A539555EB,0x74b3E5408B1c29E571BbFCd94B09D516A4d81f36,,49675.46480409990000000,sUSD,,0xd969300773ff84d13677266eb9c520aaf6447318bea325d6665692d99058eb2b
